600
600 41 26 41 37 30 26 53 52 61 20 34 47 32 34 158 30 34 39 30 38 
600 41 26 41 37 30 26 53 52 61 20 34 47 32 34 158 30 34 39 30 38 
41 41 0 0 0 0 1 1 0 0 0 0 0 0 0 5 0 0 0 0 0 
26 0 26 0 0 1 0 7 0 1 0 0 0 0 0 17 1 0 2 1 3 
41 0 0 41 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 
37 0 0 1 37 0 0 0 0 0 0 0 1 0 1 8 0 0 0 0 0 
30 0 1 0 0 30 0 1 2 2 0 3 1 0 1 13 2 1 2 0 2 
26 1 0 0 0 0 26 5 0 0 0 0 0 0 1 6 0 0 0 0 0 
53 1 7 0 0 1 5 53 1 1 1 0 2 1 2 21 0 0 0 0 0 
52 0 0 0 0 2 0 1 52 3 0 2 1 0 0 1 4 0 3 0 2 
61 0 1 0 0 2 0 1 3 61 0 21 4 0 1 13 6 0 14 0 12 
20 0 0 0 0 0 0 1 0 0 20 0 0 2 0 7 0 0 0 0 0 
34 0 0 0 0 3 0 0 2 21 0 34 1 0 0 12 2 0 5 0 1 
47 0 0 0 1 1 0 2 1 4 0 1 47 1 0 8 1 0 4 0 1 
32 0 0 0 0 0 0 1 0 0 2 0 1 32 0 14 2 1 0 0 0 
34 0 0 0 1 1 1 2 0 1 0 0 0 0 34 14 0 0 1 0 0 
158 5 17 3 8 13 6 21 1 13 7 12 8 14 14 158 7 4 5 4 11 
30 0 1 0 0 2 0 0 4 6 0 2 1 2 0 7 30 0 7 0 1 
34 0 0 0 0 1 0 0 0 0 0 0 0 1 0 4 0 34 0 0 0 
39 0 2 0 0 2 0 0 3 14 0 5 4 0 1 5 7 0 39 0 9 
30 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 30 0 
38 0 3 0 0 2 0 0 2 12 0 1 1 0 0 11 1 0 9 0 38 
